Item ID,Qty on Hand
ACAB14015,47
ACAB15398,24
ACC06000,1
AFEC06736,2
AFEC06848,4
AFEC14200,2
ALIM00691,14
ALIM06530,2
ALIM14606,8
ALIM14612,7
ALIM14633,1
ALIM14638,1
ALIM14639,8
ALIM14645,2
ANF8_A0076,6
ANF8_A0210,7
ANF8_A0310,19
ANF8_A0320,16
ANF8_A9028,39
ANF8_A9029,41
ANF8_M0031,3
ANF8K02,1
ANFAC001,4
APC002357,1
APC006526,25
APC012267,9
APC015076,1
APC015123,5
APC015149,6
APC015155,6
APC015166,10
APC015174,1
APC015176,1
APC015178,6
APC015197,8
APC015197-A,25
APC015200,5
APC015200-A,12
APC15055,6
AXE011481,1
AXE015268,2
AXE015341,2
AXE015342,2
BAT008531,2
BAT010914,165
BFMA01A52210,1
BFMA01A52580,1
BFMA01A55500,5
BFSA01A51065,3
BPP300A01_M5353,4
BPP300A01_M5599,1
BPP8D01A0517,2
BPP8K01,1
BPP8K02,1
BPP8K04,2
BPP8K05,2
BPP8M_A0081,1
BPP8M_A0330,2
BPP8M_A0509,1
BPP8M_A0520,2
BPP8M_A0541,1
BPP8M_A0593,2
BPP8M_A0700,5
BPP8M_M0331,3
BPP8M_M0587,2
BPP8M_M0588,3
BPP8M_M0682,1
BPPAH0022,2
BPPAH0080,1
BPPAH1700,2
BPPAH2500,2
BPPBH1500,2
BPPBH1700,6
BPPCH1500,2
BPPDH1500,21
BPPH06M50219,5
BPPR03A20110,2
BPPR03A35100,1
BPPV01A41200,1
BTCA00003,1
BTCA00006,1
CAB10110,1
CAB10140,5
CAB10141,20
CAB10154,1
CAB10330,6
CAB10331,2
CAB10333,5
CAB10334,42
CAB10347,1
CAB10351,11
CAB10365,1
CAB10438,9
CAB10447,3
CAB10448,3
CAB10464,5
CAB10532,5
CAB10611,2
CAB10613,3
CAB10686,3
CAB10734,1
CAB10883,1
CAB10935,10
CAB10939,1
CAB10941,8
CAB10958,9
CAB10959,11
CAB10962,2
CAB11008,1
CAB11020,1
CAB11059,12
CAB11072,3
CAB11080,8
CAB11093,1
CAB11187,2
CAB11256,5
CAB11352,3
CAB11548,2
CAB11562,1
CAB11718,8
CAB11776,2
CAB11786,2
CAB11787,2
CAB11788,1
CAB11789,2
CAB11798,2
CAB11800,2
CAB11873,4
CAB11877,2
CAB11975,2
CAB11976,2
CAB11978,2
CAB11979,2
CAB11980,3
CAB11981,3
CAB11984,1
CAB11988,1
CAB11989,3
CAB12025,1
CAB12450,2
CAB12451,2
CAB12639,3
CAB12641,3
CAB12643,1
CAB12644,3
CAB12645,3
CAB12646,3
CAB12649,2
CAB12658,4
CAB12800,1
CAB12843,1
CAB12967,3
CAB13026,5
CAB13051,3
CAB13052,3
CAB13116,6
CAB13316,23
CAB13323,1
CAB13324,23
CAME11411,1
CAME15075,1
CAPT14449,2
CAR000013,4
CEM014914,15
CINT01039,2
CINT01040,4
CINT10111,8
CINT15356,20
CLAV07847,4
CODE01048,2
CODE13590,1
CODE13597,2
COLL01606,10
COLL01611,3
CONN00616,13
CONN00835,120
CONN00852,43
CONN00867,10
CONN00869,5
CONN00870,50
CONN00873,9
CONN00878,18
CONN00881,16
CONN00898,18
CONN00900,147
CONN01164,30
CONN01202,22
CONN01208,25
CONN08974,24
CONN12279,7
CONN14359,10
CONN15406,22
CONN15576,35
CONN15612,75
CONN15681,10
CONN15682,450
CONN15780,17
CONN15782,40
CONN15787,26
CONN15842,7
CONN15844,30
CONN15847,74
CONN15848,50
CONN15849,37
CONN15852,56
CONN15853,80
COUR14016,4
COUR15463,5
CPUAH1100,4
CPUCH1500,2
DISAH0105,1
DISAH0134,3
DISAH0140,2
DISAH0316,3
DISAH0328,2
DISBH0571,1
DISCH0214,6
DISCH0472,2
DISDH0132,7
DISEH0075,1
DISEH0214,9
DOU000045,50
DOU000048,16
ECL013586,12
ECL013595,4
ECR011416,20
ECUA00033,3
ECUA00052,2
EI14EP0SD,1
EI30EP0,8
EMB015325,1
ESRT01A10519,5
FFFU300A01_M2105,2
FFU300A01_A2200,5
FFU300A01_M2105,2
FFUA05A50208,2
FO12_A6560,38
FO12_A6940,2
FO12_M6716,10
FO12_M7013,10
FO12_M7014,10
FO12_M7016,10
FO12_M7031,10
FO12A02_A1220,6
FO12A02_A2400,2
FO12A02_A3285,9
FO12A02_A4200,1
FO12A02_A4700,2
FO12A02_A5100,1
FO12A02_A7000,2
FO12A02_M3415,4
FO12A02_M4101,3
FO12A02_M8564,3
FO12A02_M8602,6
FO12A03L10000,2
FO12A10A47000,1
FO12A10M31019,2
FO12A19M00051,1
FO12B03K01,3
FO12B03K03,1
FO12B03O6100,2
FO12C03A67500,6
FO12C03A67600,2
FO12C03M67501,1
FO12C03M67502,6
FO12C03M67503,3
FO12C03M67504,6
FO12C03M67505,20
FO12C03M67506,3
FO12C03M67507,3
FO12C03M67509,3
FO12C03M67515,6
FO12C03M67516,6
FO12C03M67517,3
FO12C03M67518,3
FO12C03M67519,3
FO12C03M67520,3
FO12C03M67522,3
FO12C03M67523,3
FO12C03M67524,3
FO12C03M67525,3
FO12C03M67526,3
FO12C03M67527,3
FO12C03M67528,3
FO12C03M67529,3
FO12C03M67530,3
FO12C03M67531,3
FO12C03M67532,3
FO12C03M67533,3
FO12C03M67534,9
FO12C10A74010,2
FO12C10A74020,3
FO12C10M74025,15
FO12D07M31012,19
FO12E03A32085,2
FO12E03A64000,2
FO12E03A69200,6
FO12E03A70000,2
FO12E03M85064,1
FO300K100,3
FO300K101,3
FO300K102,2
FO300K103,3
FO300K104,5
FO300K105,6
FO300K106,3
FO300K107,3
FO300UK110,2
FO300UK13,2
FO300UK16,1
FO3AC2000,2
FO3AC2001,14
FO3AC2011,3
FO3AC2013,6
FO3AC2015,2
FO3AC2024,2
FO3AC2035,2
FO3AC2037,4
FO3AC2040,5
FO3AC2042,4
FO3AC2044,4
FO3AC2045,6
FO3AC2046,3
FO3AC2047,4
FO3AC2048,3
FO3AC2049,1
FO3AC2057,1
FO3AC2058,1
FO3AC2097,2
FO3AC2101,1
FO3AC2102,13
FO3AC2103,2
FO3AC2119,7
FO3AC2129,4
FO3CC2039,10
FO3CC2042,4
FOC10A31010,3
FOC10A74007,3
FOC10M31001,20
FOC10M74031,52
FOE03A60325,2
FOE03M64008,3
FOM01A80017,3
FON01A00003,10
FON01A00006,6
FON01A61000,94
FON01A85560,2
FON01M100005,2
FOR300K100,18
FOR300K102,3
FOR300K103,2
FORE08A70000,3
FORE08K04,7
FRE010841,4
FUSE15117,35
FUSE15140,5
IC-7905T,20
IDLAC010,62
IDLAC012,4
IDLAC017,16
IDLAC020,3
IDLAC025,2
IDLAC027,1
IDLAC030,1
IDLAC032,3
IDLAC033,6
IDLAC037,5
IDLAC070,17
IDLAC105,2
IDLAC110,2
IDLAC111,2
IDLAC113,2
IDLAC114,2
IDLAC117,3
IDLAC120,2
IDLAC2001,7
IDLAC2002,2
IDLAC2006,2
IDLAC2015,2
IDLAH0011,15
IDLAH0024,1
IDLAH0027,1
IDLAH0079,9
IDLAH0112,13
IDLAH1100,22
IDLAH1800,1
IDLAH1900,21
IDLAH9418,5
IDLBC016,1
IDLBC017,1
IDLBH0011,5
IDLW8_A0139,6
