pn,qty,description
ACAB11420,0,PC GROUND CONNECTOR
ACAB14015,47,COSSE FASTON 2.8X0.5 CABLE 0.4
ACAB14402,0,EMBOUT CABLA.1mm² ROUGE
ACAB15176,0,MANCHON A4 SILICONE  NATUREL
ACAB15181,0,GRAY TERMINAL BLOCK
ACAB15182,0,GREEN TERMINAL BLOCK (GROUND)
ACAB15261,0,MASTER SWITCH
ACAB15263,0,ETIQUETTE IMPRI.TLS PTL31-427
ACAB15398,24,ENTRETOISE HMM3-F4-40
ACAB15490,0,ADHESIF TERM 3M 8820 50MM X 9M
ACC06000,1,PC TO SPP/BPP CABLE
ACOU14758,0,Waffer Mapping Motor Coupler
ACOU14759,0,X-Axis Drive Pulley Coupler
ACOU14760,0,ACOU OLDHAM ALU D8X8 LIM COUP
ACOU14767,0,ROTEX GS 92SHA GS2 0-5 2.0-7
AFEC06736,2,TOUCHSCREEN (MICROTOUCH)
AFEC06848,4,TOUCHSCREEN MANAGEMENT BOARD
AFEC14194,0,VGA BOARD
AFEC14197,0,SCREEN ADJUSTING
AFEC14198,0,TOUCHSCREEN FUJITSU + BOARD
AFEC14200,2,TOUCH SCREEN
AFEC14204,0,SCREEN INVERTER BOARD
AFEC14218,0,LCD SCREEN
AFEC15228,0,TOUCH SCREEN 1515L ACUTOUCH
AFEC15230,0,G-TOUCH 15 SCREEN
ALIM00691,13,POWER SUPPLY
ALIM01610,9,15V 60W POWER SUPPLY
ALIM01802,0,TBFF POWER SUPPLY
ALIM06530,2,POWER SUPPLY
ALIM08523,0,ASVGA POWER SUPPLY BOARD
ALIM11777,1,"POWER SUPPLY, 48 V"
ALIM14050,0,"5V10A 12V4A -5V/-12V0,8A"
ALIM14606,8,"POWER SUPPLY, TRACO"
ALIM14612,7,"POWER SUPPLY, 96V"
ALIM14616,0,POWER SUPPLY 48V/24V
ALIM14620,0,"POWER SUPLLY, 48 V"
ALIM14621,0,"POWER SUPPLY, 48V/600W MP6-2W"
ALIM14633,1,"PWR SPLY, 200V-110V/24V AC/DC"
ALIM14638,1,"POWER SUPPLY, 48V/24V, NFO"
ALIM14639,8,"POWER SUPLLY, 24 V"
ALIM14643,0,24V POWER SUPPLY
ALIM14645,2,"POWER SUPLLY, 48 V"
ALIM14653,3,Switch Regulated Power Item
ALIM14655,1,Meanwell 480W 24V Power Supply
AMBER0090-91686,0,AMBER Controller
AMNF8_A9103,0,Upper Roller
AMNF8_A9104,0,Lower Roller
AMNF8_A9310,0,MOTOR
AMNF8_M0022,0,Indexr Notch
ANAE200A01,0,200MM AUTOMATED NOTCH ALIGNER
ANF8_9029,0,LOWER ROLLER
ANF8_A0076,6,O' RING ASSEMBLY
ANF8_A0200,0,ALIGNER ASSEMBLY
ANF8_A0210,7,O' RING
ANF8_A0310,19,UP/DOWN MOTOR ASSEMBLY
ANF8_A0320,16,ROTATION MOTOR ASSEMBLY
ANF8_A9028,39,DRIVING ROLLER ASSEMBLY
ANF8_A9029,41,LOWER ROLLER
ANF8_A9103,0,Upper Roller
ANF8_A9104,0,Lower Roller
ANF8_M0022,0,Indexer Notch
ANF8_M0028,0,"DRIVING SILLICON ROLLER, 30MM"
ANF8_M0030,0,3MM NOTCH FINDER ROD
ANF8_M0031,3,10MM ROTATING ROD
ANF8_M0124,0,KEYBOARD SUPPORT PIN
ANF8K02,1,SENSOR KIT
ANF8K03,0,SAFETY BATTERY KIT
ANFAC001,4,ALIGNER U/D DESTINATION SENSOR
ANFAC009,0,CARRIER DETECTION SENSOR
ANFAC010,0,BUZZER
APC000912,0,HD ADAPTER BOARD
APC000921,0,MTI DONGLE ALPHA
APC000922,0,WINVISION BOARD
APC002356,0,IMAGE ACQUISITION BOARD CX104
APC002357,1,ERIM BOARD
APC005831,0,PC MTHBRD AMPRO LB2-486-Q-72
APC005832,0,"PC VGA BRD, AMPRO"
APC006526,25,ASVGA BOARD
APC006528,0,ADASTRA/AMPRO LB3 16 MO RAM
