pn,qty
83200,6
85190,243
85423,1
86142,0
86321,0
86588,1
86594,60
90126,50
90127,0
117277,1
117278,0
117541,0
210262,0
229910,0
280525,0
280526,0
340925,0
341425,0
341477,0
501504,0
501523,0
501528,0
2010051,0
2011051,0
2011052,0
2022001,42
2022002,43
2022003,41
2022007,78
2023001,36
2023003,60
2023004,0
2027071,0
3300066,0
3500004,0
3500235,0
3500615,0
3500889,0
3500890,0
9850008,0
9850009,0
9850171,0
9850172,0
952420115,0
952421008,0
4008100482,0
4008301190,0
4009400900,0
4009400970,0
4009401030,0
4610084009,0
4610114010,3
4610172014,3
4610178013,0
4610274010,0
4610274022,0
4610275006,0
4610275008,0
4610276004,0
4610276005,0
4610383015,83
4610428012,0
4610428014,0
4611047005,0
4611083005,0
4611083006,0
4611110001,0
4611443091,0
4611443092,0
4618005020,0
4618062015,703
4618195014,19
4618195015,2
4618195022,32
4618213006,0
4618226007,0
4618238008,68
4618238009,0
4618238010,1
4619930002,222
4619950265,0
4619950917,0
4619952021,0
9317202042,0
3.82E+21,0
3.82E+45,0
3.82E+54,0
*ACOMPTE,0
*CABLES_ELEC,0
*CARTES_ELEC,0
*COMP_ELEC_JP,0
*COMP_ELEC_TW,0
*COMP_ELEC_UE,0
*COMP_ELEC_USA,0
*COMP_MECA_JP,0
*COMP_MECA_TW,0
*COMP_MECA_UE,0
*COMP_MECA_USA,0
*COMPOSANT_ELEC,0
*COMPOSANT_MECA,0
*COMPOSANT_MICRO,0
*EMBALLAGE,0
*FORMATION,0
*FOURNITURES,0
*FRAIS_COMMERCIA,0
*FRAIS_GENERAUX,0
*FREIGHT,0
*INFORMATIQUE,0
*LOCATION,0
*MAINT,0
*MATIERE,0
*MISC,0
*OUTIL_ELEC,0
*OUTIL_MECA,0
*OUTIL_TEST,0
*PCB,0
*PCE_PROTO_BT,0
*PREST,0
*PREST_ELEC_0001,0
*PREST_ELEC_0002,0
*PREST_USIN,0
*PROD_CESSION,0
*QUALIF_ST,0
*RD,0
*REPAIR,0
*REVETEMENT,0
*SOFT_DEVLOPMENT,0
*SOFT_LICENSE,0
*SPARE_TEMP,9
*ST_ELEC,0
*ST_MECA,0
*TINY-WORKS,0
*TRAINING,0
*UPGRADE,0
*VHS_TEMP,0
_1HEURE_ASM_RÉCI,0
_BPP200N02_001,0
_BPP200N02_002,0
_BPP200N02_003,0
_BPP200R10_023,0
_BPP6M_001,0
_BPP6M_002,0
_BPP6M_003,0
_BPP6M_004,0
_BPP8D01_001,0
_BPP8D01_002,0
_BPP8D01_003,0
_BPP8D01_004,0
_BPP8M_001,0
_BPP8M_002,0
_BPP8S01_001,0
_BPP8S01_002,0
_BPP8T05_485,0
